time,phase,posX,posY,posZ,rotX,rotY,rotZ
18.75275,0,-1.346927,1.488152,-5.153066,-2.397888,-32.38748,1.791748
18.76794,0,-1.347777,1.487985,-5.163709,-2.449585,-32.71326,1.763575
18.78339,0,-1.347862,1.48738,-5.169021,-2.391449,-32.82324,1.603802
18.79913,0,-1.348099,1.487235,-5.174191,-2.353882,-32.91791,1.464322
18.81433,0,-1.348538,1.487104,-5.184318,-2.449493,-33.29233,1.25462
18.82959,0,-1.348433,1.487042,-5.189233,-2.576111,-33.57535,1.13481
18.84515,0,-1.348347,1.487657,-5.199059,-2.763977,-34.03339,0.888208
18.86078,0,-1.348121,1.488365,-5.203732,-2.929993,-34.32654,0.8314855
18.87622,0,-1.347792,1.489026,-5.20841,-3.054291,-34.66663,0.9024075
18.8913,0,-1.34687,1.489998,-5.217968,-3.189453,-35.33582,0.968328
18.90723,0,-1.346038,1.490046,-5.222651,-3.20636,-35.72256,1.0622
18.92236,0,-1.345155,1.490185,-5.227205,-3.132141,-36.0918,1.176243
18.93787,0,-1.343502,1.490974,-5.236187,-3.082642,-36.83142,1.301292
18.95343,0,-1.342485,1.491659,-5.240602,-3.034454,-37.25977,1.276931
18.96967,0,-1.340442,1.492664,-5.24936,-3.013489,-37.95868,1.192547
18.98584,0,-1.339073,1.492831,-5.253615,-2.990173,-38.2984,1.121721
19.00214,0,-1.337625,1.4933,-5.257754,-2.979553,-38.68457,1.110362
19.01587,0,-1.334923,1.49451,-5.265851,-3.090607,-39.44281,1.163463
19.03082,0,-1.333415,1.495246,-5.269691,-3.27005,-39.82547,1.263988
19.04663,0,-1.330257,1.496324,-5.277165,-3.609009,-40.57495,1.421005
19.06189,0,-1.328393,1.496745,-5.280711,-3.786713,-40.96222,1.475147
19.07782,0,-1.326474,1.497096,-5.28431,-3.873718,-41.37231,1.529249
19.09283,0,-1.322679,1.497931,-5.291507,-3.986694,-42.20361,1.605699
19.10919,0,-1.320461,1.49822,-5.295003,-4.01001,-42.68298,1.632285
19.12415,0,-1.315974,1.498635,-5.301707,-4.138458,-43.53632,1.717394
19.13971,0,-1.313472,1.498691,-5.30481,-4.245941,-43.98648,1.788397
19.15521,0,-1.310994,1.498793,-5.307869,-4.353546,-44.43036,1.852799
19.17053,0,-1.30587,1.498836,-5.313961,-4.51593,-45.32611,1.979505
19.18622,0,-1.302839,1.498445,-5.316685,-4.51178,-45.7684,2.019073
19.2019,0,-1.297012,1.497999,-5.322214,-4.504639,-46.62494,2.100107
19.21753,0,-1.294195,1.497193,-5.325071,-4.474152,-47.01962,2.15953
19.23279,0,-1.291591,1.497095,-5.327778,-4.288757,-47.48489,2.246904
19.2486,0,-1.286198,1.497726,-5.332946,-4.280853,-48.40051,2.373421
19.26459,0,-1.283772,1.497725,-5.335304,-4.46051,-48.79718,2.258884
19.27948,0,-1.27863,1.498026,-5.340576,-4.502106,-49.58191,2.209983
19.29504,0,-1.276119,1.498224,-5.343626,-4.531525,-50.01175,2.181521
19.31213,0,-1.273449,1.497634,-5.346722,-4.515533,-50.43655,2.154025
19.32617,0,-1.268,1.496801,-5.352618,-4.459625,-51.22998,2.188866
19.34174,0,-1.265247,1.496919,-5.355744,-4.305115,-51.60013,2.304163
19.35767,0,-1.260627,1.497573,-5.362128,-4.247375,-52.35941,2.423992
19.37317,0,-1.258417,1.498068,-5.3657,-4.246704,-52.76273,2.416006
19.38904,0,-1.255996,1.498189,-5.369451,-4.160706,-53.08444,2.295563
19.40424,0,-1.251032,1.498741,-5.376774,-3.919983,-53.63547,2.108127
19.41992,0,-1.248215,1.499324,-5.380564,-3.743469,-53.73126,2.080554
19.43494,0,-1.245367,1.499729,-5.384344,-3.612488,-53.83453,2.129825
19.45001,0,-1.240044,1.500481,-5.392012,-3.431854,-54.08127,2.27373
19.46558,0,-1.237452,1.501158,-5.395834,-3.412903,-54.06454,2.445546
19.48163,0,-1.232316,1.502789,-5.403143,-3.581909,-54.01013,2.750097
19.49609,0,-1.229899,1.503516,-5.406515,-3.950256,-53.77173,2.899164
19.51178,0,-1.227345,1.504198,-5.409992,-4.232819,-53.49463,3.01876
19.52692,0,-1.222061,1.505357,-5.417076,-4.589844,-53.07007,3.180493
19.54266,0,-1.219393,1.50552,-5.420709,-4.654297,-52.68332,3.127497
19.5575,0,-1.216789,1.505865,-5.424342,-4.636078,-52.33255,3.155751
19.57263,0,-1.21165,1.506307,-5.431631,-4.772339,-51.71759,3.33547
19.58856,0,-1.20931,1.506058,-5.435372,-4.902924,-51.39096,3.453682
19.60352,0,-1.204561,1.505925,-5.442895,-5.067352,-50.737,3.665745
19.61914,0,-1.2021,1.505996,-5.446869,-5.102478,-50.41064,3.77583
19.63403,0,-1.199551,1.505627,-5.451013,-5.078918,-50.11203,3.932764
19.64948,0,-1.194663,1.50439,-5.45948,-4.981232,-49.58337,4.22342
19.66473,0,-1.192343,1.503808,-5.464001,-4.897552,-49.40152,4.31763
19.68042,0,-1.190343,1.503571,-5.468343,-4.906158,-49.23343,4.372677
19.69556,0,-1.186503,1.502903,-5.477174,-4.997894,-48.87598,4.486836
19.71112,0,-1.184748,1.502466,-5.481861,-5.033783,-48.7619,4.404316
19.72656,0,-1.180904,1.500954,-5.49139,-4.975708,-48.48358,4.285347
19.742,0,-1.178918,1.499768,-5.496325,-4.804047,-48.34927,4.172447
19.75763,0,-1.17703,1.499422,-5.501207,-4.542542,-48.22617,4.133763
19.77307,0,-1.17348,1.499191,-5.510932,-4.332214,-48.06705,4.126402
19.78992,0,-1.172015,1.499312,-5.51575,-4.400726,-48.08078,4.14085
19.80438,0,-1.168749,1.499365,-5.525355,-4.376862,-48.04874,4.096714
19.82001,0,-1.16702,1.49946,-5.530191,-4.410645,-48.08322,4.077532
19.83569,0,-1.165214,1.49895,-5.535073,-4.417755,-48.185,4.091347
19.85144,0,-1.161491,1.498356,-5.54481,-4.272675,-48.42191,4.15324
19.86737,0,-1.159333,1.498458,-5.549662,-4.069977,-48.69122,4.213141
19.88324,0,-1.155054,1.498908,-5.55922,-3.842438,-49.10822,4.271678
19.89917,0,-1.152824,1.499339,-5.563951,-3.808044,-49.4502,4.328667
19.91498,0,-1.148078,1.499762,-5.573403,-3.673676,-50.17844,4.386075
19.93091,0,-1.145485,1.500461,-5.578032,-3.614502,-50.70465,4.319961
19.94696,0,-1.140431,1.502167,-5.587045,-3.56601,-51.54999,4.182708
19.96393,0,-1.137692,1.503197,-5.591333,-3.691772,-52.03702,4.018146
19.97986,0,-1.132183,1.504214,-5.599908,-3.833923,-52.98117,3.861299
19.99738,0,-1.129351,1.50474,-5.604026,-3.929077,-53.5463,3.811746
20.01337,0,-1.123714,1.506572,-5.612003,-4.17514,-54.59525,3.686133
20.03033,0,-1.120926,1.507589,-5.615712,-4.443329,-55.15439,3.631047
20.04639,0,-1.115481,1.508794,-5.623087,-4.842621,-56.28253,3.547604
20.06348,0,-1.11276,1.508915,-5.626536,-4.992584,-56.97308,3.587656
20.0799,0,-1.107205,1.509553,-5.633321,-5.181488,-58.26413,3.54959
20.09705,0,-1.104286,1.509912,-5.636364,-5.143738,-58.94147,3.502234
20.11292,0,-1.101613,1.510082,-5.639377,-5.152313,-59.57947,3.43567
20.12903,0,-1.096239,1.510145,-5.645291,-5.220184,-60.89343,3.355945
20.14545,0,-1.093476,1.509849,-5.64798,-5.204163,-61.62738,3.306191
20.16113,0,-1.087751,1.509705,-5.65338,-5.193817,-63.03177,3.192402
20.17682,0,-1.084589,1.509569,-5.655826,-5.215912,-63.77844,3.122394
20.1922,0,-1.078529,1.508878,-5.660759,-5.203613,-65.18213,3.010679
20.20856,0,-1.075071,1.508104,-5.663088,-5.131805,-65.90717,2.988952
20.22467,0,-1.071544,1.50715,-5.665374,-4.988434,-66.62811,2.998453
20.23993,0,-1.064506,1.505877,-5.669749,-4.69989,-68.05759,2.918884
20.25598,0,-1.060883,1.505282,-5.671733,-4.597778,-68.73029,2.877908
20.27112,0,-1.053684,1.503981,-5.675647,-4.479828,-70.11218,2.838751
20.28699,0,-1.05004,1.503261,-5.677715,-4.387909,-70.8085,2.852977
20.30273,0,-1.04646,1.502624,-5.679696,-4.285645,-71.50308,2.843734
20.31903,0,-1.039066,1.501801,-5.683367,-4.153656,-72.8598,2.806762
20.33478,0,-1.035417,1.501365,-5.685204,-4.151123,-73.50235,2.681783
20.35004,0,-1.02837,1.501187,-5.688859,-4.0802,-74.8024,2.610202
20.36578,0,-1.02504,1.501833,-5.690832,-4.200653,-75.41809,2.551561
20.38159,0,-1.02162,1.50159,-5.692759,-4.348083,-75.965,2.425291
20.3974,0,-1.014676,1.500432,-5.696754,-4.441681,-77.00262,2.192116
20.41296,0,-1.011141,1.499594,-5.699065,-4.360748,-77.42749,2.132797
