InteractionNumber,ElapsedTime,SplitTime,missCount
-0.2442637,-0.05092565,0.3133412,16.6365,15.90707,1.29263
-0.1692341,-0.06465238,0.2911685,20.85284,23.82154,2.946743
-0.09406123,-0.08189987,0.2661622,25.56,31.69673,3.988577
-0.03663834,-0.08653128,0.2457496,31.93918,40.53084,6.585185
0.000273861,-0.08563007,0.2273716,33.99916,48.55381,8.93551
0.0199537,-0.08557317,0.212452,34.80967,55.23631,9.545669
0.02924257,-0.07747484,0.2022441,31.25241,60.84563,9.553178
0.02864397,-0.04101535,0.1951011,16.02366,64.28138,6.991705
0.00419269,0.009180579,0.1806832,350.5062,66.75291,2.625256
-0.03438273,0.03008613,0.1631683,332.7936,69.00414,358.7581
-0.06519736,0.03409037,0.1486279,326.3614,71.19823,355.1807
-0.07635564,0.03113066,0.1429755,327.3974,72.17134,353.796
-0.07388987,0.02654324,0.144463,329.5717,71.36797,354.1581
-0.04579835,0.02368912,0.1551148,330.7827,68.83744,354.7512
0.0258633,0.01059747,0.180078,333.2764,63.52068,355.6835
0.09863891,-0.003346196,0.2034647,336.6876,59.73755,355.5479
0.2120267,-0.01606825,0.2336299,339.4736,56.37742,355.4568
0.3064117,-0.01169373,0.2581659,339.1314,54.56246,353.7865
0.3642141,-0.002311526,0.2698451,339.2927,51.44225,354.4302
0.4003465,0.003235972,0.2722941,339.5542,46.94259,354.6227
0.4133212,0.008137628,0.2665911,342.385,42.68769,354.6139
0.3934118,0.009269216,0.2622035,344.5476,34.69951,357.0573
0.341529,0.0003124916,0.2612044,354.3901,20.12456,1.069791
0.2649426,-0.0185887,0.252231,4.832997,6.518348,3.045239
0.170005,-0.04320194,0.2352264,12.24768,353.316,2.107915
0.09913205,-0.06049318,0.2214426,16.07478,345.305,2.264986
0.02232765,-0.06878839,0.2097826,22.66821,338.1749,359.1904
-0.02882965,-0.07530384,0.2052959,28.94265,333.176,357.0543
-0.06378988,-0.07267621,0.2079649,29.79691,328.7381,355.1982
-0.0710227,-0.04987746,0.2152244,21.09596,327.4793,355.7046
-0.0606971,-0.00540571,0.2240445,358.1114,330.8249,358.449
-0.05049919,0.02043457,0.2195507,340.386,331.1109,358.4151
-0.04791193,0.03006542,0.206636,328.7661,326.0326,357.5603
-0.06325836,0.03137913,0.1999844,328.0945,315.6088,1.829736
-0.08337535,0.02002509,0.2016135,336.6176,307.6174,3.99825
-0.09531996,0.003330753,0.2087255,348.2621,305.1101,3.66338
-0.09887358,-0.03224333,0.2342118,12.0824,312.3832,354.5078
-0.0838859,-0.0727887,0.2487774,30.00686,323.0154,349.2876
-0.05303686,-0.09460366,0.2592471,35.38397,341.8347,350.2767
-0.003851646,-0.1044912,0.2433766,38.60122,8.317426,353.6381
0.04579888,-0.1055656,0.2021189,37.44998,37.93087,359.0721
0.07514449,-0.1063993,0.1597236,36.22591,61.27887,2.64924
0.09420176,-0.1040833,0.1067555,34.37838,86.06185,8.313311
0.1047625,-0.09722872,0.07552156,30.66002,98.9177,8.5725
0.1136328,-0.08476114,0.04365837,25.7001,109.694,6.183625
0.1151947,-0.07462326,0.03013269,21.79328,113.2876,3.172786
0.1109629,-0.04138679,0.01667606,7.367284,116.4072,358.4575
0.09550713,-0.006835988,0.02352576,351.0996,112.7248,353.8611
0.07185859,0.01615129,0.035571,336.1186,108.4481,349.8169
0.05216774,0.02659562,0.04804951,326.8091,103.6001,347.4361
0.03511287,0.03311937,0.06836739,321.6306,90.35403,347.7545
0.01171808,0.03606909,0.09250423,320.2061,65.13968,353.7077
-0.02011944,0.03235779,0.1094305,323.1382,35.86988,2.275407
-0.0587352,0.02344567,0.1080064,329.0514,4.279932,10.53832
-0.08929177,0.01516964,0.09369879,335.508,340.6129,15.10976
-0.1100113,0.007145565,0.07726825,341.1843,323.3935,17.56544
-0.125165,-0.00282443,0.06127856,348.1884,308.2838,17.31457
-0.1304507,-0.01178663,0.054027,354.091,297.2826,14.77599
-0.1309953,-0.01944936,0.05341392,358.8856,287.5471,11.34077
-0.1306326,-0.02972123,0.05957793,5.002757,279.6676,7.645945
-0.1336094,-0.03406071,0.07202342,7.052092,276.9077,4.119309
-0.1494133,-0.04092518,0.07450088,8.241293,273.2072,4.968574
-0.1868911,-0.04941415,0.06467459,10.21163,267.4939,5.701718
-0.2527986,-0.06047751,0.04920005,12.50515,262.7243,7.857812
-0.318394,-0.05909083,0.03612787,14.52507,261.4247,7.569035
-0.3659963,-0.0544553,0.02758683,16.05302,261.0514,5.834433
