InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
9.201,-0.3196777,-0.1516399,0.3914644,13.0652,331.5414,355.8204,,13.0652,-28.4586,-4.1796
9.302319,-0.3326772,-0.1391204,0.36452,12.16987,324.1125,355.5559,,12.16987,-35.8875,-4.4441
9.40239,-0.3411091,-0.1258702,0.3375429,10.64472,317.9715,355.9971,,10.64472,-42.0285,-4.0029
9.524954,-0.3510287,-0.1147685,0.3158428,8.148711,312.6586,357.9003,,8.148711,-47.3414,-2.0997
9.638008,-0.3654872,-0.117793,0.3138874,5.796889,310.725,357.8769,,5.796889,-49.275,-2.1231
9.767719,-0.3800273,-0.1299037,0.3169101,10.41411,308.8536,359.0905,,10.41411,-51.1464,-0.9095
9.880695,-0.3572373,-0.1304282,0.3084801,15.17292,309.2539,0.8826838,,15.17292,-50.7461,0.8826838
9.987915,-0.2985411,-0.1137981,0.2865855,17.0293,316.858,3.760973,,17.0293,-43.142,3.760973
10.08799,-0.2200203,-0.09626747,0.2502828,15.09397,329.0204,6.013192,,15.09397,-30.9796,6.013192
10.19171,-0.1239778,-0.0830261,0.1966742,13.67986,344.6444,9.424623,,13.67986,-15.3556,9.424623
10.29234,-0.02817495,-0.0609675,0.1376694,11.44858,0.5304117,12.44952,,11.44858,0.5304117,12.44952
10.41472,0.06572972,-0.03364662,0.06580294,9.342848,19.9344,11.08305,,9.342848,19.9344,11.08305
10.52954,0.1057349,-0.02468404,0.01664643,7.735528,31.65596,8.673232,,7.735528,31.65596,8.673232
10.65584,0.1240178,-0.02792642,-0.03221782,10.01342,43.35512,4.714722,,10.01342,43.35512,4.714722
10.77851,0.1286956,-0.03691306,-0.06459519,17.37735,54.72679,0.425465,,17.37735,54.72679,0.425465
10.87962,0.1301671,-0.04024484,-0.08168209,17.99048,63.3459,2.534172,,17.99048,63.3459,2.534172
11.00249,0.1252578,-0.043634,-0.08737249,19.65004,66.07943,2.801176,,19.65004,66.07943,2.801176
11.10349,0.1259668,-0.04282017,-0.07991815,17.12804,65.84897,1.80179,,17.12804,65.84897,1.80179
11.20443,0.124164,-0.04333043,-0.06816841,19.01465,65.56194,2.67874,,19.01465,65.56194,2.67874
11.30784,0.1250715,-0.04568085,-0.05940852,21.14359,65.28369,4.2244,,21.14359,65.28369,4.2244
11.43129,0.1326623,-0.04554711,-0.04746704,21.99458,65.29665,5.614378,,21.99458,65.29665,5.614378
11.55429,0.1339142,-0.04496664,-0.03822403,21.12692,66.63287,4.560683,,21.12692,66.63287,4.560683
11.65545,0.142247,-0.03671633,-0.04249139,15.7888,74.21584,5.532824,,15.7888,74.21584,5.532824
11.76857,0.1515935,-0.03587347,-0.05775101,14.25731,83.71127,4.590241,,14.25731,83.71127,4.590241
11.8825,0.1662407,-0.04673024,-0.06912713,15.02197,90.47911,2.980371,,15.02197,90.47911,2.980371
12.00636,0.2027147,-0.05582557,-0.06083567,15.73066,88.28513,3.782511,,15.73066,88.28513,3.782511
12.13382,0.2303606,-0.05627408,-0.006459432,19.85097,62.55164,2.020931,,19.85097,62.55164,2.020931
12.2441,0.226841,-0.05049642,0.04740889,18.98707,40.8078,359.6193,,18.98707,40.8078,-0.3807
12.36191,0.2335546,-0.06413963,0.08764643,19.67654,34.22517,359.3591,,19.67654,34.22517,-0.6409
12.48173,0.2758061,-0.0859431,0.1322536,24.36669,34.31508,359.9651,,24.36669,34.31508,-0.0349
12.59172,0.3492762,-0.1133989,0.1906014,26.5972,31.80998,0.2924237,,26.5972,31.80998,0.2924237
12.69307,0.405107,-0.1085955,0.2387859,26.84109,29.40568,359.8018,,26.84109,29.40568,-0.1982
12.79496,0.4376642,-0.09613899,0.2654776,26.94683,29.8806,2.163115,,26.94683,29.8806,2.163115
12.89881,0.4569586,-0.09040605,0.2747824,25.34165,30.25741,2.817773,,25.34165,30.25741,2.817773
13.01985,0.4655415,-0.0888228,0.267946,26.19335,29.13315,3.902344,,26.19335,29.13315,3.902344
13.12071,0.4640993,-0.08487758,0.2527253,26.79334,28.18848,3.311345,,26.79334,28.18848,3.311345
13.22184,0.455883,-0.08156102,0.2386582,25.25769,28.86157,3.372392,,25.25769,28.86157,3.372392
13.32481,0.4384838,-0.08035173,0.2307025,23.89858,29.10718,3.124201,,23.89858,29.10718,3.124201
13.43677,0.4127084,-0.07447785,0.2329928,22.87461,29.03526,2.071992,,22.87461,29.03526,2.071992
13.5372,0.3871427,-0.07076551,0.2402368,21.97384,27.63291,3.280666,,21.97384,27.63291,3.280666
13.66323,0.3651545,-0.07103628,0.2554078,21.85776,23.60185,4.518234,,21.85776,23.60185,4.518234
13.77338,0.3596613,-0.07628132,0.2656107,23.86957,21.65588,4.237281,,23.86957,21.65588,4.237281
13.87673,0.3613814,-0.07934191,0.2686376,24.50643,21.79634,3.269432,,24.50643,21.79634,3.269432
13.99783,0.3653964,-0.07486794,0.2701502,22.58433,22.86321,3.892555,,22.58433,22.86321,3.892555
14.11215,0.3665546,-0.07449149,0.2658018,22.47351,22.79445,4.713819,,22.47351,22.79445,4.713819
14.21518,0.3641516,-0.07428413,0.2523016,23.15722,24.05033,5.054759,,23.15722,24.05033,5.054759
14.32435,0.3441855,-0.07417013,0.2183025,20.99774,26.70128,5.685469,,20.99774,26.70128,5.685469
14.4423,0.2990684,-0.08096156,0.1589649,18.60861,30.57819,4.052486,,18.60861,30.57819,4.052486
14.56159,0.2390404,-0.06912446,0.08664766,15.76202,40.16877,1.071277,,15.76202,40.16877,1.071277
14.67753,0.1975902,-0.05145998,0.02331219,12.51,54.18312,3.987774,,12.51,54.18312,3.987774
14.80011,0.1718402,-0.02740737,-0.0400895,5.305414,66.38255,8.443115,,5.305414,66.38255,8.443115
14.90328,0.1628628,-0.01823295,-0.07719842,0.4634202,69.65755,7.408539,,0.4634202,69.65755,7.408539
15.02994,0.1636048,-0.005604687,-0.1021054,356.8282,64.46258,7.029487,,-3.1718,64.46258,7.029487
15.15394,0.1644709,-0.008382906,-0.09945789,358.365,49.07968,4.583775,,-1.635,49.07968,4.583775
15.25414,0.1527047,-0.0179127,-0.08635037,5.207516,28.9995,3.805312,,5.207516,28.9995,3.805312
