InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
15.0046,-0.571615,-0.001307158,0.7530597,352.5043,176.4389,4.841112,,-7.4957,176.4389,4.841112
15.12344,-0.614527,-0.002540506,0.744184,352.4805,184.9755,5.816335,,-7.5195,-175.0245,5.816335
15.22362,-0.6403983,-0.006374497,0.7326346,354.7053,187.0709,5.043697,,-5.2947,-172.9291,5.043697
15.32824,-0.661305,-0.02305858,0.7302441,3.082437,191.4506,4.255971,,3.082437,-168.5494,4.255971
15.43327,-0.6783786,-0.02551119,0.7335948,8.82622,202.5487,5.094761,,8.82622,-157.4513,5.094761
15.54891,-0.6843608,-0.02213158,0.7439546,7.726479,219.2133,7.281962,,7.726479,-140.7867,7.281962
15.65496,-0.6774742,-0.02252422,0.7596783,6.531608,237.0271,5.779796,,6.531608,-122.9729,5.779796
15.77731,-0.6512378,-0.01635,0.7904909,3.654203,265.1449,4.362442,,3.654203,-94.8551,4.362442
15.88834,-0.6126056,-0.01261506,0.8233253,0.9723388,290.6109,4.065274,,0.9723388,-69.3891,4.065274
16.01264,-0.5702637,-0.007326257,0.8583342,0.07033827,311.653,3.283664,,0.07033827,-48.347,3.283664
16.12629,-0.5417941,-0.008870776,0.8891138,0.1820555,323.3339,3.730301,,0.1820555,-36.6661,3.730301
16.22856,-0.5301554,-0.009888845,0.9088174,1.562881,325.8472,4.232617,,1.562881,-34.1528,4.232617
16.35442,-0.5352183,-0.007748981,0.9214534,1.9479,319.7544,3.471131,,1.9479,-40.2456,3.471131
16.48076,-0.5541556,-0.00393776,0.9020201,0.2845134,294.1619,3.21947,,0.2845134,-65.8381,3.21947
16.59506,-0.5489171,-0.0091131,0.8779422,1.662545,275.9493,2.814996,,1.662545,-84.0507,2.814996
16.70424,-0.5282801,-0.01876269,0.8693773,3.792298,271.2003,2.794205,,3.792298,-88.7997,2.794205
16.82784,-0.4926651,-0.02129359,0.8769066,3.967601,271.7894,3.829859,,3.967601,-88.2106,3.829859
16.93,-0.4464343,-0.02105468,0.9018406,3.338679,273.9698,4.071772,,3.338679,-86.0302,4.071772
17.05378,-0.3854526,-0.02666264,0.9579139,1.568958,279.3965,4.611606,,1.568958,-80.6035,4.611606
17.15483,-0.3386348,-0.0323471,1.016787,1.043109,287.2172,4.889744,,1.043109,-72.7828,4.889744
17.25878,-0.2894816,-0.03164985,1.071822,3.182966,298.242,5.200819,,3.182966,-61.758,5.200819
17.3795,-0.2260666,-0.02057372,1.115877,3.259977,307.3318,6.871302,,3.259977,-52.6682,6.871302
17.48112,-0.1781942,-0.01801739,1.134458,2.488916,310.8509,5.156332,,2.488916,-49.1491,5.156332
17.60463,-0.1203858,-0.0172789,1.143882,2.915436,314.3308,5.093558,,2.915436,-45.6692,5.093558
17.70854,-0.07091014,-0.01879234,1.144409,1.97909,316.0414,4.931983,,1.97909,-43.9586,4.931983
17.83335,-0.000434354,-0.02441214,1.143059,2.814333,319.4154,4.26269,,2.814333,-40.5846,4.26269
17.95862,0.06380043,-0.02372226,1.141025,4.024864,322.2804,3.921815,,4.024864,-37.7196,3.921815
18.06966,0.1151326,-0.02188004,1.144161,5.203918,323.6293,4.330101,,5.203918,-36.3707,4.330101
18.20572,0.1676983,-0.01997793,1.157626,6.146719,324.5649,5.169805,,6.146719,-35.4351,5.169805
18.30967,0.2021084,-0.01998972,1.172349,5.514092,319.5952,4.747455,,5.514092,-40.4048,4.747455
18.43182,0.214691,-0.01649665,1.17184,5.827339,299.1684,2.82562,,5.827339,-60.8316,2.82562
18.54652,0.2210371,-0.01324955,1.160264,4.415661,280.2396,2.32942,,4.415661,-79.7604,2.32942
18.67341,0.2308937,-0.01107586,1.161418,3.819379,276.6251,4.119617,,3.819379,-83.3749,4.119617
18.78354,0.2386114,-0.01150997,1.184492,3.659572,292.0356,6.11614,,3.659572,-67.9644,6.11614
