InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
7.448997,0.1876872,-0.01941521,0.003765134,348.3005,31.23267,2.633606,-0.1876872,1.480585,9.846235,-0.131165,1.073052,9.634902,-0.4518655,1.399573,9.688478
7.561314,0.1880468,-0.01891206,0.002307937,348.1486,31.58165,2.749528,-0.1880468,1.481088,9.847692,-0.1303723,1.073766,9.633628,-0.4551727,1.457447,9.706127
7.661732,0.1877332,-0.01852443,0.001137378,347.5216,31.56019,3.015666,-0.1877332,1.481476,9.848863,-0.1302746,1.071876,9.634099,-0.4643348,1.476858,9.717222
7.761894,0.1878784,-0.0189683,0.0008001905,347.1951,30.89692,3.399655,-0.1878784,1.481032,9.8492,-0.1313323,1.067214,9.633669,-0.4766869,1.481392,9.719646
7.872906,0.1912948,-0.01807962,0.0006176904,346.5934,30.63961,3.683039,-0.1912948,1.48192,9.849382,-0.1343923,1.0662,9.632752,-0.4880509,1.489948,9.716141
7.985859,0.1956408,-0.01955841,0.0006015562,346.201,30.80726,3.531883,-0.1956408,1.480442,9.849399,-0.1393251,1.065147,9.632433,-0.4930504,1.506348,9.714416
8.085861,0.198577,-0.02031533,0.00115045,346.104,31.24657,3.481949,-0.198577,1.479685,9.848849,-0.1444017,1.059856,9.633218,-0.491643,1.521586,9.718561
8.186058,0.2000112,-0.02004676,0.002985178,345.3081,31.21758,3.680661,-0.2000112,1.479953,9.847014,-0.1459434,1.055841,9.634147,-0.4882261,1.549138,9.725316
8.287643,0.2005893,-0.0195852,0.006556749,344.4748,30.73128,3.953429,-0.2005893,1.480415,9.843443,-0.1444617,1.053889,9.632283,-0.4887882,1.597257,9.743071
8.398594,0.2014968,-0.02100505,0.01158026,343.6772,30.56302,4.421506,-0.2014968,1.478995,9.83842,-0.1420076,1.05223,9.625676,-0.4888685,1.647293,9.756395
