InteractionNumber,touched
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
13.44698,0.02478698,-0.05090357,-0.05477157,1.554834,326.9273,4.51674,-0.02478698,1.449096,9.904772,0.2932498,1.010348,9.870158,-0.1167429,0.8530979,9.782736
13.55948,-0.0004934054,-0.0479831,-0.05011584,2.395614,327.9412,5.188147,0.0004934054,1.452017,9.900116,0.3144306,1.009934,9.886354,-0.06834748,0.8666211,9.788033
13.6724,-0.01594913,-0.04339333,-0.04476854,2.227038,331.2293,4.273054,0.01594913,1.456607,9.894769,0.319958,1.01154,9.870822,-0.04498835,0.874437,9.769918
13.77249,-0.02389351,-0.04097259,-0.03877704,1.624938,335.329,1.317483,0.02389351,1.459027,9.888777,0.3383775,1.003469,9.848951,-0.04899944,0.8758193,9.734716
13.88406,-0.02733206,-0.0394688,-0.03054455,1.681262,342.7746,358.8204,0.02733206,1.460531,9.880545,0.3365459,0.9986626,9.814914,-0.09808303,0.8296626,9.705443
13.98423,-0.03053785,-0.03768186,-0.02362073,0.5332257,349.3651,358.2683,0.03053785,1.462318,9.873621,0.3259352,1.001867,9.793821,-0.1475569,0.7522843,9.737717
14.09732,-0.03438463,-0.03985592,-0.01794164,359.4778,354.9393,358.0026,0.03438463,1.460144,9.867942,0.3205935,0.996349,9.772696,-0.1309261,0.6980561,9.784369
14.20367,-0.03761447,-0.04165865,-0.01754565,359.9887,357.6912,358.2823,0.03761447,1.458341,9.867546,0.3176723,0.9945614,9.757879,-0.09061826,0.6807938,9.80519
14.30983,-0.03353053,-0.03928604,-0.02115761,359.9121,3.293101,357.3455,0.03353053,1.460714,9.871158,0.308419,1.001992,9.751388,-0.04752554,0.6927229,9.80719
14.42102,-0.02591217,-0.03484399,-0.02927189,359.782,9.704363,356.9561,0.02591217,1.465156,9.879272,0.299513,1.005558,9.75104,-0.01837675,0.7067028,9.804783
14.5227,-0.01854277,-0.02880739,-0.03807081,359.536,15.01277,357.3477,0.01854277,1.471193,9.888071,0.292127,1.009369,9.752777,-0.008855635,0.7223125,9.806105
14.63391,-0.01674181,-0.02222505,-0.04520607,358.7963,15.50249,358.2881,0.01674181,1.477775,9.895206,0.2688242,1.021059,9.75096,-0.01622809,0.7460322,9.801501
14.73398,-0.01700044,-0.02008371,-0.04759069,358.6059,12.53723,358.8759,0.01700044,1.479916,9.897591,0.2424043,1.032344,9.747626,-0.05433158,0.7824782,9.774837
14.83487,-0.01587353,-0.02096702,-0.04974222,359.1975,9.526631,358.869,0.01587353,1.479033,9.899742,0.2279288,1.036973,9.747333,-0.06996428,0.815061,9.75463
14.94701,-0.01521752,-0.02114524,-0.05285424,359.2032,7.190863,359.3811,0.01521752,1.478855,9.902854,0.2593374,1.028286,9.753074,-0.0525421,0.8316933,9.760609
15.05936,-0.01585261,-0.02092111,-0.0558746,359.1718,5.958916,0.2706596,0.01585261,1.479079,9.905874,0.2805133,1.026677,9.766966,-0.04263859,0.8346487,9.775388
15.15964,-0.017219,-0.02016247,-0.05871153,359.124,4.936241,0.1633793,0.017219,1.479838,9.908711,0.2786693,1.025346,9.778487,-0.03810938,0.8227983,9.790453
