,time,posX,posY,posZ,gazeX,gazeY,gazeZ
170,3.414452,0.1591352,1.681746,1.5,0.1579016,1.649427,1.5
171,3.434456,0.1591352,1.684227,1.5,0.1571907,1.653237,1.5
172,3.454453,0.1591352,1.685464,1.5,0.1567412,1.654927,1.5
173,3.474457,0.1591352,1.688048,1.5,0.1559317,1.657525,1.5
174,3.494453,0.1591352,1.689382,1.5,0.1555821,1.658857,1.5
175,3.51445,0.1591352,1.691777,1.5,0.1548613,1.661994,1.5
176,3.534454,0.1591352,1.694229,1.5,0.1543359,1.664783,1.5
177,3.554451,0.1591352,1.695519,1.5,0.1540002,1.665539,1.5
178,3.574455,0.1591352,1.697984,1.5,0.1534277,1.667951,1.5
179,3.594452,0.1591352,1.699234,1.5,0.1532494,1.669267,1.5
180,3.614456,0.1578854,1.700539,1.5,0.1526437,1.671597,1.5
181,3.634453,0.1553893,1.700539,1.5,0.1523233,1.673673,1.5
182,3.654449,0.1541575,1.700539,1.5,0.1521866,1.674998,1.5
183,3.674454,0.1515526,1.700539,1.5,0.1517839,1.676942,1.5
184,3.69445,0.150407,1.700539,1.5,0.1518747,1.678011,1.5
185,3.714455,0.1478287,1.700539,1.5,0.151645,1.679484,1.5
186,3.734451,0.1453727,1.700539,1.5,0.1510456,1.681462,1.5
187,3.754456,0.1440929,1.700539,1.5,0.1508075,1.682803,1.5
188,3.774452,0.1415826,1.700539,1.5,0.1501095,1.685023,1.5
189,3.794456,0.1403727,1.700539,1.5,0.1497777,1.685737,1.5
190,3.814453,0.1378205,1.700539,1.5,0.1494691,1.686657,1.5
191,3.83445,0.1365486,1.700539,1.5,0.1492147,1.687294,1.5
192,3.854454,0.1340837,1.700539,1.5,0.1494836,1.687504,1.5
193,3.874451,0.1315201,1.700539,1.5,0.1493997,1.68796,1.5
194,3.894455,0.1303316,1.700539,1.5,0.1490632,1.688257,1.5
195,3.914452,0.1278007,1.700539,1.5,0.1483485,1.687469,1.5
196,3.934456,0.1265507,1.700539,1.5,0.1480244,1.686904,1.5
197,3.954453,0.1240497,1.700539,1.5,0.1469622,1.685676,1.5
198,3.974457,0.1215057,1.700539,1.5,0.1457257,1.685078,1.5
199,3.994453,0.1202928,1.700539,1.5,0.1452515,1.684382,1.5
200,4.01445,0.1177132,1.700539,1.5,0.1444761,1.683169,1.5
201,4.034454,0.116483,1.700539,1.5,0.1439386,1.682676,1.5
202,4.054451,0.1140064,1.700539,1.5,0.1435961,1.682181,1.5
203,4.074455,0.1114725,1.700539,1.5,0.1433027,1.680962,1.5
204,4.094452,0.1103003,1.700539,1.5,0.1437046,1.679958,1.5
205,4.114456,0.1077561,1.700539,1.5,0.1442919,1.678478,1.5
206,4.134453,0.1064867,1.700539,1.5,0.1451534,1.677866,1.5
207,4.154449,0.1037369,1.700539,1.5,0.1465554,1.675957,1.5
208,4.174454,0.1026549,1.700539,1.5,0.1470471,1.675532,1.5
209,4.19445,0.1000113,1.700539,1.5,0.1490099,1.672515,1.5
210,4.214455,0.0974111,1.700539,1.5,0.150209,1.670266,1.5
211,4.234451,0.09604901,1.700539,1.5,0.1512913,1.669265,1.5
212,4.254456,0.09461114,1.700539,1.5,0.1521356,1.668388,1.5
213,4.274452,0.09193119,1.700539,1.5,0.1532851,1.666512,1.5
214,4.294456,0.090679,1.700539,1.5,0.1540454,1.665888,1.5
215,4.314453,0.08798679,1.700539,1.5,0.1554281,1.664726,1.5
216,4.33445,0.08538001,1.700539,1.5,0.1580335,1.663432,1.5
217,4.354454,0.0841509,1.700539,1.5,0.1604538,1.662906,1.5
218,4.374451,0.08157966,1.700539,1.5,0.1646974,1.66239,1.5
219,4.394455,0.0803396,1.700539,1.5,0.1665404,1.662344,1.5
220,4.414452,0.07779498,1.700539,1.5,0.1714265,1.660953,1.5
221,4.434456,0.07657862,1.700539,1.5,0.1743703,1.660192,1.5
222,4.454453,0.07398962,1.700539,1.5,0.1794743,1.65851,1.5
223,4.474457,0.07145283,1.700539,1.5,0.1836714,1.656792,1.5
224,4.494453,0.07026391,1.700539,1.5,0.1856207,1.655809,1.5
225,4.51445,0.06765214,1.700539,1.5,0.1891153,1.654438,1.5
226,4.534454,0.06643423,1.700539,1.5,0.1895059,1.65373,1.5
227,4.554451,0.06393166,1.700539,1.5,0.1889021,1.651742,1.5
228,4.574455,0.06143216,1.700539,1.5,0.1859811,1.648742,1.5
229,4.594452,0.06017279,1.700539,1.5,0.1834914,1.647176,1.5
230,4.614456,0.05754618,1.700539,1.5,0.1778858,1.645142,1.5
231,4.634453,0.05634797,1.700539,1.5,0.1739793,1.644103,1.5
232,4.654449,0.05386979,1.700539,1.5,0.1658645,1.641326,1.5
233,4.674454,0.05137865,1.700539,1.5,0.1568064,1.638331,1.5
234,4.69445,0.05021258,1.700539,1.5,0.1523881,1.637357,1.5
235,4.714455,0.04763902,1.700539,1.5,0.1449204,1.635963,1.5
236,4.734451,0.04640157,1.700539,1.5,0.1412602,1.63546,1.5
237,4.754456,0.0439015,1.700539,1.5,0.1340845,1.633719,1.5
238,4.774452,0.04137958,1.700539,1.5,0.1276948,1.630783,1.5
239,4.794456,0.04015972,1.700539,1.5,0.1243794,1.62851,1.5
240,4.814453,0.03758451,1.700539,1.5,0.1170631,1.624524,1.5
