time,posX,posY,posZ,gazeX,gazeY,gazeZ
111.06,-0.04361807,-0.04146293,-0.1190814,-16.97018,0.9601564,2.189426
111.08,-0.04367615,-0.04146014,-0.1191294,-16.9993,0.9424133,2.163212
111.1,-0.04370176,-0.04147721,-0.1191389,-17.02725,0.9263776,2.177302
111.12,-0.04372638,-0.04146408,-0.1191529,-17.07916,0.8882273,2.176491
111.14,-0.04373625,-0.04141982,-0.1191497,-17.12524,0.8809689,2.18012
111.16,-0.04376334,-0.04136959,-0.1191644,-17.15106,0.8610543,2.176881
111.18,-0.04378889,-0.0413346,-0.1191897,-17.18802,0.8583353,2.166104
111.2,-0.04379823,-0.04130277,-0.1191902,-17.21381,0.8533428,2.158241
111.22,-0.04377928,-0.04127013,-0.1191657,-17.28897,0.8254256,2.224839
111.24,-0.04377145,-0.04124483,-0.11915,-17.29855,0.8073133,2.244363
111.26,-0.04377079,-0.04114128,-0.1191366,-17.36087,0.7953761,2.19084
111.28,-0.04379324,-0.04105703,-0.1191321,-17.39929,0.7725643,2.141803
111.3,-0.04381463,-0.04101949,-0.1191286,-17.41992,0.7741252,2.142529
111.32,-0.04382277,-0.0409877,-0.1191712,-17.41116,0.752466,2.137092
111.34,-0.04381165,-0.04101176,-0.119202,-17.42001,0.7436566,2.13678
111.36,-0.04380327,-0.04111404,-0.1193169,-17.392,0.7434698,2.117598
111.38,-0.0437791,-0.04112183,-0.1193676,-17.43832,0.7393618,2.099747
111.4,-0.043765,-0.04107326,-0.1193875,-17.49472,0.7475317,2.102476
111.42,-0.04374708,-0.04105659,-0.1194424,-17.5108,0.739401,2.104907
111.44,-0.04375404,-0.04100343,-0.1194723,-17.53589,0.7533395,2.100848
111.46,-0.04376106,-0.04093127,-0.1195107,-17.56479,0.7685895,2.087382
111.48,-0.04374026,-0.04079316,-0.1196129,-17.6344,0.7294323,2.125765
111.5,-0.04373696,-0.04073318,-0.1196421,-17.66617,0.7333034,2.118041
111.52,-0.04371276,-0.04063058,-0.1196952,-17.72086,0.7293668,2.116978
111.54,-0.0436937,-0.04058295,-0.1197242,-17.7543,0.7350715,2.112672
111.56,-0.04371855,-0.04055513,-0.119808,-17.77084,0.7261137,2.110842
111.58,-0.04372133,-0.0405922,-0.1199203,-17.76648,0.7204778,2.086068
111.6,-0.04370387,-0.04062117,-0.1199793,-17.76251,0.7155711,2.074671
111.62,-0.04368537,-0.04065191,-0.1200441,-17.75562,0.7098847,2.064327
111.64,-0.04363303,-0.04068632,-0.1201717,-17.7478,0.7053443,2.051036
111.66,-0.04354908,-0.04066581,-0.1202696,-17.76407,0.7070125,2.025629
111.68,-0.04349283,-0.04062691,-0.1203477,-17.78235,0.7360862,1.982324
111.7,-0.04346751,-0.04060537,-0.1203911,-17.79932,0.7461769,1.971839
111.72,-0.04348268,-0.04050196,-0.1204,-17.86188,0.7185885,1.964104
111.74,-0.04345581,-0.04047629,-0.1203926,-17.8522,0.7325025,1.979828
111.76,-0.04341085,-0.04053836,-0.1204067,-17.8476,0.7311352,1.976523
111.78,-0.04338595,-0.04059024,-0.1203839,-17.82892,0.7477074,1.978356
111.8,-0.04329691,-0.04065941,-0.1203223,-17.79419,0.7646466,1.978515
111.82,-0.04323689,-0.04081395,-0.1202289,-17.69818,0.7909966,1.954756
111.84,-0.04320434,-0.04090912,-0.1201753,-17.6687,0.7918926,1.942203
111.86,-0.04318841,-0.0410037,-0.1200214,-17.61862,0.7852309,1.921093
111.88,-0.04316895,-0.04103326,-0.119948,-17.59772,0.7890557,1.912403
111.9,-0.0431812,-0.04106577,-0.1198374,-17.53729,0.7892007,1.88872
111.92,-0.04319128,-0.04105698,-0.11978,-17.52859,0.7891294,1.8727
111.94,-0.04319952,-0.04107959,-0.1196524,-17.51431,0.7789357,1.888977
111.96,-0.0432212,-0.04109631,-0.1195312,-17.50146,0.7493298,1.903545
111.98,-0.0432404,-0.04106904,-0.1194819,-17.51035,0.7243686,1.897088
112,-0.04330979,-0.04103175,-0.1194078,-17.52722,0.6922222,1.846907
112.02,-0.04341903,-0.0408905,-0.1193778,-17.56351,0.6734889,1.825153
112.04,-0.04344818,-0.04080291,-0.1194389,-17.56482,0.6463317,1.853743
112.06,-0.04357377,-0.04090802,-0.1195283,-17.45169,0.6054017,1.851758
112.08,-0.04359614,-0.04099049,-0.1195722,-17.48206,0.62155,1.865325
112.1,-0.0437701,-0.0410239,-0.1196908,-17.51202,0.5671129,1.87726
112.12,-0.04385729,-0.04102677,-0.1197655,-17.55255,0.5439897,1.894559
112.14,-0.04393453,-0.0410124,-0.1198305,-17.56412,0.5165342,1.914254
112.16,-0.04408723,-0.04090281,-0.119983,-17.6384,0.4523995,1.949374
112.18,-0.04417671,-0.04082616,-0.1200537,-17.66727,0.4167579,1.957811
112.2,-0.04439245,-0.04069433,-0.120173,-17.70898,0.3255951,1.985526
112.22,-0.04462158,-0.04054628,-0.1202707,-17.75635,0.2162373,2.018329
112.24,-0.04474802,-0.04048495,-0.1202998,-17.7901,0.1708353,2.011903
112.26,-0.04495837,-0.0403927,-0.1203846,-17.84436,0.07704946,2.037439
112.28,-0.04506402,-0.04038018,-0.1204145,-17.8588,0.02920328,2.042853
112.3,-0.04526434,-0.04036273,-0.1205054,-17.88495,-0.08413696,2.076871
112.32,-0.04549604,-0.04038593,-0.1205976,-17.87759,-0.1970825,2.09226
112.34,-0.04561002,-0.04040357,-0.120646,-17.87231,-0.2527771,2.107423
