time,phase,posX,posY,posZ,rotX,rotY,rotZ
3.730026,0,-0.09590028,1.462196,2.045322,11.82909,-0.8536072,2.14422
3.744492,0,-0.09839634,1.459474,2.061199,11.55062,-0.9266968,1.945138
3.758759,0,-0.1009788,1.456927,2.076331,11.52431,-0.927124,1.681148
3.772675,0,-0.1035451,1.454807,2.090815,11.75552,-0.8428955,1.408705
3.786148,0,-0.1060313,1.453084,2.105,12.16164,-0.7199402,1.122685
3.800339,0,-0.1083502,1.452515,2.119178,12.81745,-0.5422058,0.9058136
3.814163,0,-0.1105365,1.4538,2.134082,13.40313,-0.398407,0.7635061
3.827347,0,-0.1124721,1.454178,2.148807,13.18558,-0.3457336,0.6994371
3.842422,0,-0.1140901,1.453117,2.162467,12.87323,-0.3428955,0.6952111
3.856094,0,-0.1153343,1.452654,2.176576,12.47323,-0.4297485,0.9323798
3.869507,0,-0.11648,1.454269,2.191202,12.17352,-0.593689,1.173979
3.883804,0,-0.1175735,1.457481,2.206166,12.14748,-0.7214355,1.275798
3.897644,0,-0.1186315,1.460034,2.220836,12.05257,-0.7393494,1.214686
3.91095,0,-0.1195284,1.461401,2.234894,12.02289,-0.6920471,1.038637
3.925522,0,-0.1200696,1.46252,2.249502,11.87539,-0.602356,0.8649895
3.939499,0,-0.1205425,1.464457,2.264397,11.82685,-0.4901733,0.6797688
3.953613,0,-0.1209394,1.466679,2.279473,11.86507,-0.3680725,0.4310772
3.966507,0,-0.1212952,1.46833,2.294476,11.98186,-0.196228,0.09630879
3.981506,0,-0.1216234,1.4695,2.309468,12.14206,0.01299934,-0.2257996
3.995453,0,-0.1218588,1.470356,2.32456,12.2667,0.2091087,-0.5045776
4.008545,0,-0.1221455,1.470814,2.339736,12.38561,0.4175272,-0.7483826
4.022751,0,-0.1225711,1.471037,2.354812,12.53535,0.5806436,-0.9853821
4.036743,0,-0.1229763,1.470924,2.369985,12.69841,0.7435532,-1.163727
4.050491,0,-0.1232642,1.470382,2.385304,12.856,0.907687,-1.274872
4.064728,0,-0.1234888,1.469532,2.400839,13.05134,1.064918,-1.285034
4.078979,0,-0.1236209,1.468521,2.416415,13.24426,1.183675,-1.235107
4.093033,0,-0.1237317,1.467214,2.432119,13.39718,1.287333,-1.130646
4.106079,0,-0.1237382,1.465956,2.447886,13.50614,1.379821,-1.033264
4.120483,0,-0.1234952,1.464656,2.463655,13.56011,1.485913,-0.901947
4.134323,0,-0.1231364,1.46321,2.479424,13.57727,1.603193,-0.8035583
4.147675,0,-0.1225676,1.461733,2.495142,13.55372,1.705921,-0.7062683
4.161957,0,-0.1219403,1.460184,2.510883,13.45451,1.803934,-0.6540222
4.176468,0,-0.121049,1.458569,2.526589,13.2677,1.864632,-0.6019592
4.189316,0,-0.1195509,1.457145,2.542325,13.11769,1.845969,-0.4773254
4.204025,0,-0.1180021,1.456113,2.558136,13.05358,1.777506,-0.3261414
4.217926,0,-0.1164716,1.455231,2.573801,13.02574,1.644202,-0.2161865
4.23172,0,-0.1149529,1.453529,2.588817,12.98283,1.439249,-0.1873779
4.245071,0,-0.1134166,1.452218,2.603377,13.20487,1.252046,-0.1309814
4.259476,0,-0.1118022,1.451766,2.617771,13.50222,1.03972,0.06247313
4.273941,0,-0.110332,1.45442,2.632893,14.34779,0.7386818,0.2379903
4.287186,0,-0.1088605,1.457616,2.648392,14.52091,0.3735742,0.2793327
4.301666,0,-0.1077126,1.457966,2.662748,14.38711,0.1095854,0.01939305
4.31604,0,-0.1066049,1.457349,2.676419,14.17843,-0.03872681,-0.1297302
4.328568,0,-0.1059499,1.458221,2.689981,14.19124,0.0003704985,-0.4602356
4.343094,0,-0.1057045,1.460996,2.703971,14.39465,0.1280127,-0.9611206
4.356979,0,-0.1059028,1.464379,2.717944,14.64975,0.1984322,-1.47879
