time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
1.977554,0,-0.02244397,1.472403,1.457999,6.7647,-0.6111755,1.867814,-0.01059277,-0.1177922,0.9929818,0,0
1.99382,0,-0.02304164,1.473073,1.471729,6.932592,-0.3423157,1.710055,-0.005931072,-0.1207015,0.9926711,0,0
2.010132,0,-0.02420316,1.474683,1.499347,7.189812,0.05450499,1.544185,0.0009438114,-0.1251568,0.9921365,0,0
2.026398,0,-0.02467707,1.474967,1.513398,7.30324,0.3342012,1.351023,0.005785557,-0.1271207,0.9918704,0,0
2.042511,0,-0.02562939,1.47485,1.541441,7.388496,0.77961,1.133121,0.01349337,-0.1285965,0.9916052,0,0
2.059479,0,-0.02600059,1.473897,1.555722,7.357769,1.001508,1.049436,0.01733481,-0.1280646,0.9916143,0,0
2.075577,0,-0.02652624,1.473025,1.5702,7.345364,1.231717,0.9905586,0.02131946,-0.1278499,0.9915643,0,0
2.091583,0,-0.02738277,1.47117,1.599159,7.334023,1.635329,0.8259415,0.02830453,-0.1276536,0.9914148,0,0
2.108093,0,-0.02785448,1.469823,1.613981,7.350634,1.860151,0.7350812,0.0321933,-0.1279411,0.9912592,0,0
2.124222,0,-0.02862716,1.466868,1.643556,7.40944,2.275602,0.5801552,0.03937476,-0.128959,0.9908679,0,0
2.140671,0,-0.02891729,1.464877,1.658646,7.460301,2.442215,0.5315103,0.04225108,-0.1298392,0.9906344,0,0
2.157059,0,-0.02930887,1.460994,1.688969,7.577987,2.784996,0.4980323,0.04816386,-0.1318755,0.9900955,0,0
2.173401,0,-0.02940612,1.459129,1.704542,7.715104,2.915818,0.5390331,0.0504082,-0.1342474,0.9896649,0,0
2.189468,0,-0.02953487,1.455122,1.735647,7.931181,3.175125,0.5230992,0.05485822,-0.1379836,0.9889141,0,0
2.206284,0,-0.02935178,1.453163,1.751429,8.023641,3.264036,0.491538,0.05637998,-0.1395817,0.9886042,0,0
2.224915,0,-0.02859889,1.449285,1.782974,8.122006,3.424726,0.4764614,0.05913796,-0.1412815,0.9882015,0,0
2.238861,0,-0.0278443,1.447657,1.799035,8.005689,3.420444,0.4809048,0.0590811,-0.1392714,0.9884902,0,0
2.254745,0,-0.02638678,1.445382,1.831655,7.677928,3.415142,0.4919927,0.05903613,-0.1336044,0.9892748,0,0
2.271469,0,-0.02531669,1.445944,1.848635,7.235544,3.275827,0.5239854,0.05668778,-0.1259487,0.9904158,0,0
2.287567,0,-0.02321557,1.446074,1.881698,6.517717,3.076212,0.5489619,0.0533174,-0.1135104,0.9921051,0,0
2.304703,0,-0.0220107,1.445562,1.89723,6.416132,2.873559,0.6492689,0.04981805,-0.1117488,0.992487,0,0
2.320602,0,-0.0195422,1.447809,1.929021,6.850564,2.469444,1.039731,0.04277897,-0.1192802,0.9919386,0,0
2.338196,0,-0.01812343,1.456092,1.946457,7.414965,2.036213,1.623679,0.03523401,-0.1290546,0.9910113,0,0
2.354218,0,-0.01674667,1.455688,1.978415,5.553567,1.551777,0.9764103,0.02695319,-0.09677634,0.9949411,0,0
2.371292,0,-0.01537908,1.451563,1.993387,4.955359,1.639883,0.8782973,0.02851048,-0.08637956,0.9958543,0,0
2.390549,0,-0.0148884,1.454466,2.008,5.678178,1.840658,0.4316164,0.03196242,-0.09894076,0.9945799,0,0
2.404465,0,-0.01447962,1.461725,2.03823,6.916329,1.908398,-0.7702637,0.03305934,-0.1204198,0.9921724,0,0
2.421021,0,-0.01410961,1.465924,2.067457,7.925967,2.081807,-1.826569,0.03597936,-0.1378934,0.9897934,0,0
2.438477,0,-0.01425233,1.466244,2.081871,8.280367,2.168509,-2.069397,0.03744413,-0.1440171,0.9888665,0,0
